make_model,body_type,price,vat,km,registration,hp,previous_owners,make,model,body_color,paint_type,nr_of_doors,nr_of_seats,gearing_type,displacement,weight,drive_chain,fuel,gears,country_version,cons_combined,cons_city,cons_country,air_cond,bluetooth,age,upholstery_type,co2_emission
Audi A1,Compact,11880,VAT deductible,31971,04/2016,60.0,1,Audi,A1,Black,Metallic,3.0,4.0,Manual,999.0,1110.0,front,Benzin,5.0,Germany,4.4,5.2,3.9,Air conditioning,CD player,3,Cloth,102.0
Audi A1,Compact,11800,VAT deductible,94800,02/2016,66.0,1,Audi,A1,Grey,Metallic,4.0,4.0,Manual,1422.0,1180.0,front,Diesel,5.0,Germany,3.4,3.9,3.1,Air conditioning,Bluetooth,3,Cloth,91.0
Audi A1,Compact,11850,VAT deductible,85000,02/2016,66.0,1,Audi,A1,Grey,Metallic,4.0,4.0,Manual,1422.0,1180.0,front,Diesel,5.0,Germany,3.4,3.9,3.1,Air conditioning,Bluetooth,3,Cloth,91.0
Audi A1,Compact,11569,VAT deductible,111265,03/2016,66.0,1,Audi,A1,Black,Metallic,5.0,5.0,Manual,1422.0,1180.0,front,Diesel,5.0,Germany,3.9,6.170041038508629,4.26714272683179,Air conditioning,Bluetooth,3,Cloth,102.0
Audi A1,Sedans,11490,VAT deductible,44120,01/2016,66.0,1,Audi,A1,Black,Metallic,2.0,5.0,Manual,1422.0,1135.0,front,Diesel,5.0,Germany,3.6,4.1,3.3,Air conditioning,Bluetooth,3,Cloth,94.0
Audi A1,Sedans,11490,VAT deductible,97976,06/2016,70.0,1,Audi,A1,Black,Metallic,3.0,4.0,Manual,999.0,1110.0,front,Benzin,5.0,Germany,4.2,5.0,3.7,Air conditioning,Bluetooth,3,Cloth,99.0
Audi A1,Sedans,11500,VAT deductible,106000,06/2016,66.0,1,Audi,A1,Grey,Metallic,5.0,4.0,Manual,1422.0,1195.0,front,Diesel,5.0,Belgium,3.7,4.2,3.4,Air conditioning,CD player,3,Cloth,97.0
Audi A1,Sedans,11790,VAT deductible,60000,06/2016,85.0,0,Audi,A1,Black,Metallic,5.0,5.0,Manual,1598.0,1250.0,front,Diesel,5.0,Spain,3.7,4.3,3.1,Air conditioning,Radio,3,Cloth,97.0
Audi A1,Compact,11490,VAT deductible,58000,04/2016,60.0,2,Audi,A1,Black,Metallic,2.0,4.0,Manual,999.0,1180.0,front,Benzin,5.0,Germany,4.4,5.2,3.9,Air conditioning,Bluetooth,3,Part/Full Leather,102.0
Audi A1,Compact,11470,VAT deductible,57454,10/2016,60.0,1,Audi,A1,Black,Metallic,3.0,4.0,Manual,999.0,1675.0,front,Benzin,5.0,Germany,4.4,5.2,3.9,Armrest,Bluetooth,3,Cloth,104.0
Audi A1,Compact,11480,VAT deductible,94055,10/2016,66.0,1,Audi,A1,White,Metallic,4.0,4.0,Manual,1422.0,1180.0,front,Diesel,5.0,Germany,3.9,6.170041038508629,4.26714272683179,Air conditioning,Bluetooth,3,Cloth,102.0
Audi A1,Sedans,11180,VAT deductible,56000,06/2016,70.0,1,Audi,A1,Black,Metallic,5.0,4.0,Manual,999.0,1135.0,front,Benzin,5.0,Germany,4.2,5.0,3.7,Light sensor,Bluetooth,3,Cloth,97.0
Audi A1,Sedans,11450,VAT deductible,27600,03/2016,70.0,1,Audi,A1,White,Metallic,5.0,4.0,Manual,999.0,1135.0,front,Benzin,5.0,Germany,4.2,5.0,3.7,Air conditioning,On-board computer,3,Cloth,97.0
Audi A1,Compact,11100,VAT deductible,111670,06/2016,85.0,1,Audi,A1,Black,Metallic,5.0,5.0,Manual,1598.0,1250.0,front,Diesel,5.0,Germany,3.0,4.0,3.0,Air conditioning,Bluetooth,3,Cloth,102.0
Audi A1,Compact,10900,VAT deductible,30500,03/2016,66.0,1,Audi,A1,Black,Metallic,3.0,4.0,Manual,1422.0,1180.0,front,Diesel,5.0,Germany,3.8,4.2,3.5,Air conditioning,CD player,3,Cloth,99.0
Audi A1,Compact,10999,VAT deductible,69500,02/2017,70.0,1,Audi,A1,Black,Metallic,2.0,4.0,Manual,999.0,1180.0,front,Benzin,5.0,Germany,4.4,5.2,3.9,Air conditioning,CD player,2,Cloth,102.0
Audi A1,Compact,10900,VAT deductible,43500,11/2016,60.0,1,Audi,A1,White,Metallic,2.0,4.0,Manual,999.0,1180.0,front,Benzin,5.0,Germany,4.2,5.0,3.7,Air conditioning,CD player,3,Cloth,97.0
Audi A1,Sedans,10950,VAT deductible,45696,04/2016,70.0,1,Audi,A1,Black,Metallic,3.0,5.0,Manual,999.0,1135.0,front,Benzin,5.0,Germany,4.4,5.2,3.9,Air conditioning,CD player,3,Cloth,102.0
Audi A1,Sedans,10800,Price negotiable,34000,12/2016,66.0,2,Audi,A1,Blue,Metallic,3.0,4.0,Manual,1422.0,1165.0,front,Diesel,5.0,Germany,3.8,4.4,3.5,Air conditioning,On-board computer,3,Part/Full Leather,99.0
Audi A1,Sedans,10600,VAT deductible,55000,06/2016,70.0,1,Audi,A1,Red,Metallic,3.0,4.0,Manual,999.0,1110.0,front,Benzin,5.0,Germany,4.2,5.0,3.7,Air conditioning,Radio,3,Part/Full Leather,97.0
Audi A1,Sedans,10800,VAT deductible,99000,01/2016,66.0,1,Audi,A1,Black,Metallic,5.0,4.0,Manual,1422.0,1205.0,front,Diesel,5.0,Italy,3.7,4.2,3.4,Air conditioning,Bluetooth,3,Cloth,97.0
Audi A1,Compact,9950,VAT deductible,118500,05/2016,70.0,1,Audi,A1,Black,Metallic,3.0,4.0,Manual,999.0,1110.0,front,Benzin,5.0,Germany,4.6,6.170041038508629,4.26714272683179,Air conditioning,Bluetooth,3,Cloth,102.0
Audi A1,Sedans,10300,VAT deductible,85000,07/2016,70.0,1,Audi,A1,Red,Metallic,5.0,5.0,Manual,999.0,1135.0,front,Benzin,5.0,Germany,4.2,5.0,3.7,Air conditioning,Bluetooth,3,Cloth,97.0
Audi A1,Sedans,10000,VAT deductible,192000,05/2016,85.0,1,Audi,A1,Black,Metallic,5.0,4.0,Manual,1598.0,1250.0,front,Diesel,5.0,Germany,3.9,4.7,3.4,Air conditioning,MP3,3,Cloth,102.0
Audi A1,Compact,10490,VAT deductible,130000,02/2016,66.0,1,Audi,A1,White,Metallic,4.0,4.0,Manual,1422.0,1180.0,front,Diesel,5.0,Germany,3.9,4.3,3.6,Air conditioning,CD player,3,Cloth,102.0
Audi A1,Compact,18900,VAT deductible,41294,11/2016,71.0,1,Audi,A1,Grey,Metallic,5.0,4.0,Automatic,999.0,1065.0,front,Benzin,7.0,Netherlands,4.4,5.4,3.8,Air conditioning,On-board computer,3,Cloth,103.0
Audi A1,Sedans,18900,VAT deductible,64000,06/2017,85.0,1,Audi,A1,White,Metallic,5.0,4.0,Automatic,1598.0,1720.0,front,Diesel,7.0,Germany,3.8,4.4,3.4299999999999997,Air conditioning,Bluetooth,2,Part/Full Leather,99.0
Audi A1,Sedans,18900,VAT deductible,13135,01/2018,70.0,1,Audi,A1,Grey,Metallic,5.0,5.0,Automatic,999.0,1625.0,front,Benzin,7.0,Germany,4.6,5.6374270508084345,4.100973465178125,Air conditioning,Bluetooth,1,Part/Full Leather,104.0
Audi A1,Sedans,18900,VAT deductible,4250,07/2017,70.0,1,Audi,A1,Silver,Metallic,5.0,4.0,Automatic,999.0,1135.0,front,Benzin,7.0,Belgium,4.4,5.4,3.8,Armrest,Bluetooth,2,Part/Full Leather,102.0
Audi A1,Sedans,18890,VAT deductible,2949,09/2018,70.0,1,Audi,A1,Silver,Metallic,5.0,4.0,Automatic,999.0,1135.0,front,Benzin,7.0,Germany,4.4,5.2,3.9,Air conditioning,Bluetooth,1,Cloth,104.0
Audi A1,Sedans,18890,VAT deductible,17861,05/2017,71.0,1,Audi,A1,White,Metallic,5.0,4.0,Automatic,999.0,1135.0,front,Benzin,7.0,Germany,4.6,5.6374270508084345,4.100973465178125,Air conditioning,Bluetooth,2,Cloth,104.0
Audi A1,Compact,18890,VAT deductible,22800,03/2017,92.0,1,Audi,A1,Black,Metallic,4.0,4.0,Automatic,1395.0,1180.0,front,Benzin,7.0,Germany,5.1,6.3,4.4,Air conditioning,Bluetooth,2,Part/Full Leather,117.0
Audi A1,Sedans,18880,VAT deductible,5108,05/2017,70.0,1,Audi,A1,Black,Metallic,5.0,5.0,Automatic,999.0,1165.0,front,Benzin,7.0,Germany,4.4,5.4,3.8,Air conditioning,CD player,2,Cloth,102.0
Audi A1,Sedans,18880,VAT deductible,11335,04/2018,70.0,1,Audi,A1,White,Metallic,5.0,5.0,Automatic,999.0,1135.0,front,Benzin,7.0,Germany,4.4,5.4,3.8,Air conditioning,Bluetooth,1,Cloth,102.0
Audi A1,Compact,18880,VAT deductible,6396,06/2018,70.0,1,Audi,A1,Red,Metallic,5.0,4.0,Automatic,999.0,1135.0,front,Benzin,7.0,Germany,4.4,5.2,3.9,Air conditioning,Bluetooth,1,Cloth,104.0
Audi A1,Compact,18880,VAT deductible,47800,01/2016,85.0,1,Audi,A1,Grey,Metallic,4.0,5.0,Automatic,1598.0,1180.0,front,Diesel,7.0,Germany,3.8,4.4,3.4,Air conditioning,Bluetooth,3,Cloth,99.0
